,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,1975,Chainlink,LINK,chainlink,2063,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'polkadot', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'cross-chain', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'optimism-ecosystem', 'real-world-assets-protocols', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'milkomeda-ecosystem', 'energi-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'robotics']",,678099970.4527867,1000000000.0,False,,11,,,,2025-08-17T15:02:00.000Z,25.58576883147907,1864016588.327765,100.1186,3.27340036,16.43372199,15.6030394,40.01839025,99.17682501,66.06590254,17349709088.637787,0.4316,25585768831.48,,2025-08-17T15:02:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-08-17 17:03:26.393686
11,32196,Hyperliquid,HYPE,hyperliquid,132,2024-07-15T10:14:50.000Z,"['decentralized-exchange-dex-token', 'defi', 'derivatives', 'layer-1', 'hyperliquid-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem']",1000000000.0,333928180.0,999993930.0,False,,12,333931719.0,15688708101.87237,,2025-08-17T15:02:00.000Z,46.98178462607312,220688104.3763168,-30.2667,-0.01108385,0.10145065,6.00889779,4.1407666,18.91391393,80.21756614,15688541833.336578,0.3902,46981784626.07,,2025-08-17T15:02:00.000Z,32196.0,Hyperliquid,HYPE,hyperliquid,0x0d01dc56dcaaca66ad901c959b4011ec,2025-08-17 17:03:26.393686
12,20947,Sui,SUI,sui,741,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm', 'cmc-crypto-yearbook-2024-2025', 'made-in-america', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",10000000000.0,3511924479.5699987,10000000000.0,False,,13,3511924479.57,13517292327.400593,,2025-08-17T15:02:00.000Z,3.8489701034390262,649125359.0448213,-36.06,-0.19941707,2.08851495,-0.02054352,-1.11724992,38.47734591,2.49721669,13517292327.400587,0.3362,38489701034.39,,2025-08-17T15:02:00.000Z,,,,,,2025-08-17 17:03:26.393686
13,512,Stellar,XLM,stellar,740,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'defi', 'smart-contracts', 'hashkey-capital-portfolio', 'real-world-assets-protocols', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",50001806812.0,31302842091.97281,50001786889.0645,False,,14,31531408660.0,13548142313.71897,,2025-08-17T15:02:00.000Z,0.42967133057096246,192362665.25927305,-43.9136,-0.44099809,0.61713291,-3.10187146,-9.51709217,72.3664118,51.63268116,13449933812.310686,0.3346,21484342863.86,,2025-08-17T15:02:00.000Z,,,,,,2025-08-17 17:03:26.393686
14,1831,Bitcoin Cash,BCH,bitcoin-cash,1047,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'layer-1', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",21000000.0,19912653.125,19912653.125,False,,15,,,,2025-08-17T15:02:00.000Z,584.698363419574,289070146.4803952,-3.5694,-0.90954491,-0.73726205,1.42228898,12.81044769,25.85876887,50.98827781,11642895693.529165,0.2896,12278665631.81,,2025-08-17T15:02:00.000Z,,,,,,2025-08-17 17:03:26.393686
0,1,Bitcoin,BTC,bitcoin,12285,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19907687.0,19907687.0,False,,1,,,,2025-08-17T15:32:00.000Z,118280.7853652037,45273644223.17454,-21.673,0.00745625,0.38261758,-0.30207834,0.33064646,12.96679521,12.99569809,2354696853164.656,58.5581,2483896492669.28,,2025-08-17T15:32:00.000Z,,,,,,2025-08-17 17:33:40.775834
1,1027,Ethereum,ETH,ethereum,10442,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,120707874.00238802,120707874.00238802,True,,2,,,,2025-08-17T15:33:00.000Z,4559.724748745787,27226126432.902626,-35.3136,0.22856469,3.46940756,8.12944042,28.14938965,81.83100114,85.64073063,550394680457.1769,13.6876,550394680457.18,,2025-08-17T15:33:00.000Z,,,,,,2025-08-17 17:33:40.775834
2,52,XRP,XRP,xrp,1674,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",100000000000.0,59418500720.0,99985837887.0,False,,3,,,,2025-08-17T15:33:00.000Z,3.1239097485533343,3187738112.4873915,-42.4357,0.04652278,0.46267271,-2.14290088,-7.7721515,45.26744412,33.29015522,185618033643.63132,4.6161,312390974855.33,,2025-08-17T15:33:00.000Z,,,,,,2025-08-17 17:33:40.775834
3,825,Tether USDt,USDT,tether,141698,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem']",,166657763574.19937,168749161109.49985,True,,4,,,,2025-08-17T15:32:00.000Z,1.000545042381545,75953509429.09654,-26.6828,0.00301715,-0.02853036,0.03591352,0.00273328,0.03768438,0.05123812,166748599118.56082,4.1468,168841136554.15,,2025-08-17T15:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-08-17 17:33:40.775834
4,1839,BNB,BNB,bnb,2665,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing']",,139287663.19,139287663.19,False,,5,,,,2025-08-17T15:33:00.000Z,858.8853336650637,2171141208.2686157,-3.875,0.13874659,2.96615035,7.06118127,16.8284135,33.89022244,32.91023375,119632131074.37016,2.9751,119632131074.37,,2025-08-17T15:33:00.000Z,,,,,,2025-08-17 17:33:40.775834
